 ,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,SVM,SVM,SVM,SVM,SVM,SVM,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks
User,Precision,Recall,F1Score,TPR,FPR,RoC AUC,Precision,Recall,F1Score,TPR,FPR,RoC AUC,Precision,Recall,F1Score,TPR,FPR,RoC AUC
1,0.76923,0.92105,0.83832,0.92105,0.26923,0.82591,0.8427,0.98684,0.90909,0.98684,0.17949,0.90368,0.86747,0.94737,0.90566,0.94737,0.14103,0.90317
2,0.87671,0.84211,0.85906,0.84211,0.11538,0.86336,0.86364,1,0.92683,1,0.15385,0.92308,0.9375,0.98684,0.96154,0.98684,0.064103,0.96137
3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
4,0.98667,0.97368,0.98013,0.97368,0.012821,0.98043,0.98701,1,0.99346,1,0.012821,0.99359,0.98701,1,0.99346,1,0.012821,0.99359
5,1,0.94737,0.97297,0.94737,0,0.97368,0.97403,0.98684,0.98039,0.98684,0.025641,0.9806,0.98667,0.97368,0.98013,0.97368,0.012821,0.98043
6,1,0.92105,0.9589,0.92105,0,0.96053,1,1,1,1,0,1,1,0.98684,0.99338,0.98684,0,0.99342
7,0.97333,0.96053,0.96689,0.96053,0.025641,0.96744,0.98649,0.96053,0.97333,0.96053,0.012821,0.97385,1,0.93421,0.96599,0.93421,0,0.96711
8,0.98611,0.93421,0.95946,0.93421,0.012821,0.9607,0.98701,1,0.99346,1,0.012821,0.99359,0.98649,0.96053,0.97333,0.96053,0.012821,0.97385
9,1,1,1,1,0,1,1,1,1,1,0,1,1,0.98684,0.99338,0.98684,0,0.99342
10,0.98667,0.97368,0.98013,0.97368,0.012821,0.98043,0.97436,1,0.98701,1,0.025641,0.98718,0.98701,1,0.99346,1,0.012821,0.99359
11,0.94937,0.98684,0.96774,0.98684,0.051282,0.96778,0.98701,1,0.99346,1,0.012821,0.99359,0.97436,1,0.98701,1,0.025641,0.98718
12,0.97368,0.97368,0.97368,0.97368,0.025641,0.97402,1,1,1,1,0,1,1,1,1,1,0,1
13,1,0.94737,0.97297,0.94737,0,0.97368,0.98684,0.98684,0.98684,0.98684,0.012821,0.98701,0.98667,0.97368,0.98013,0.97368,0.012821,0.98043
14,0.96104,0.97368,0.96732,0.97368,0.038462,0.96761,0.95,1,0.97436,1,0.051282,0.97436,0.96154,0.98684,0.97403,0.98684,0.038462,0.97419
15,0.98551,0.89474,0.93793,0.89474,0.012821,0.94096,0.98214,0.72368,0.83333,0.72368,0.012821,0.85543,0.98571,0.90789,0.94521,0.90789,0.012821,0.94754
16,1,0.88158,0.93706,0.88158,0,0.94079,1,0.97368,0.98667,0.97368,0,0.98684,1,0.97368,0.98667,0.97368,0,0.98684
17,0.90909,0.78947,0.84507,0.78947,0.076923,0.85628,1,0.77632,0.87407,0.77632,0,0.88816,0.98571,0.90789,0.94521,0.90789,0.012821,0.94754
18,1,0.89474,0.94444,0.89474,0,0.94737,1,0.92105,0.9589,0.92105,0,0.96053,1,0.98684,0.99338,0.98684,0,0.99342
19,0.97368,0.97368,0.97368,0.97368,0.025641,0.97402,1,1,1,1,0,1,1,1,1,1,0,1
20,0.98413,0.81579,0.89209,0.81579,0.012821,0.90148,1,0.89474,0.94444,0.89474,0,0.94737,1,1,1,1,0,1
21,1,0.90789,0.95172,0.90789,0,0.95395,1,1,1,1,0,1,1,1,1,1,0,1
22,0.9726,0.93421,0.95302,0.93421,0.025641,0.95428,0.95,1,0.97436,1,0.051282,0.97436,0.98701,1,0.99346,1,0.012821,0.99359
23,0.97368,0.97368,0.97368,0.97368,0.025641,0.97402,0.95,1,0.97436,1,0.051282,0.97436,0.96203,1,0.98065,1,0.038462,0.98077
